COUNTRY,POPULATION,MEDIANAGE,POPGROWTH,BIRTHRATE,MTRNLDTH,HEATHEXPENDITURE,INFANTMORATLITYRATE,OBESITY,TOTALFERTILITYRATE
Afghanistan,32564342.00,18.4,2.32,38.57,460,8.6,115.08,2.2,5.33
Albania,3029278.00,32,0.3,12.92,27,6,12.75,21.3,1.5
Algeria,39542166.00,27.5,1.84,23.67,97,5.2,20.98,16,2.78
Angola,19625353.00,18,2.77,38.78,450,3.5,78.26,6.4,5.37
Argentina,43431886.00,31.4,0.93,16.64,77,8.5,9.69,29.7,2.23
Armenia,3056382.00,34.2,-0.15,13.61,30,4.5,13.51,24,1.64
Australia,22751014.00,38.4,1.07,12.15,7,9.1,4.37,26.8,1.77
Austria,8665550.00,43.6,0.55,9.41,4,11.5,3.45,20.9,1.46
Azerbaijan,9780780.00,30.5,0.96,16.64,43,5.4,25.68,23.8,1.91
"Bahamas, The",324597.00,31.5,0.84,15.5,47,7.5,11.92,34.7,1.96
Bahrain,1346613.00,31.8,2.41,13.66,20,3.9,9.35,32.9,1.78
Bangladesh,168957745.00,24.7,1.6,21.14,240,3.6,44.09,1.1,2.4
Barbados,290604.00,38,0.31,11.87,51,6.3,10.42,34.7,1.68
Belarus,9589689.00,39.6,-0.2,10.7,4,5,3.62,24.3,1.47
Belgium,11323973.00,41.4,0.76,11.41,8,10.8,3.41,22.1,1.78
Belize,347369.00,22.1,1.87,24.68,53,5.8,19.82,33.7,2.95
Benin,10448647.00,17.9,2.78,36.02,350,4.5,55.68,6,4.95
Bhutan,741919.00,26.7,1.11,17.78,180,3.8,35.91,5.3,1.97
Bolivia,10800882.00,23.7,1.56,22.76,190,5.8,37.49,17.9,2.73
Bosnia and Herzegovina,3867055.00,41.2,-0.13,8.87,8,9.9,5.72,26.5,1.27
Botswana,2182719.00,23.1,1.21,20.96,160,5.3,8.93,11.2,2.33
Brazil,204259812.00,31.1,0.77,14.46,56,9.3,18.6,18.8,1.77
Brunei,429646.00,29.6,1.62,17.32,24,2.3,10.16,7.5,1.8
Bulgaria,7186893.00,42.1,-0.58,8.92,11,7.4,8.66,23.7,1.45
Burkina Faso,18931686.00,17.1,3.03,42.03,300,6.2,75.32,2.3,5.86
Burma,56320206.00,28.3,1.01,18.39,200,1.8,43.55,4,2.16
Burundi,10742276.00,17,3.27,42.01,800,8.1,61.89,2.9,6.09
Cabo Verde,545993.00,24.5,1.36,20.33,79,3.9,23.45,10,2.29
Cambodia,15708756.00,24.5,1.58,23.83,250,5.4,50.04,2.1,2.6
Cameroon,23739218.00,18.4,2.59,36.17,690,5.1,53.63,10.3,4.76
Canada,35099836.00,41.8,0.75,10.28,12,10.9,4.65,26.2,1.59
Central African Republic,5391539.00,19.5,2.13,35.08,890,3.8,90.63,3.5,4.41
Chad,11631456.00,17.4,1.89,36.6,"1,100",3.5,88.69,2.7,4.55
Chile,17508260.00,33.7,0.82,13.83,25,7.2,6.86,29.4,1.82
China,1367485388.00,36.8,0.45,12.49,37,5.4,12.44,5.7,1.6
Colombia,46736728.00,29.3,1.04,16.47,92,6.8,14.58,17.3,2.04
Comoros,780971.00,19.4,1.77,27.84,280,4.5,63.55,4.4,3.6
"Congo, Democratic Republic of the",79375136.00,18.1,2.45,34.88,540,5.6,71.47,1.7,4.66
"Congo, Republic of the",4755097.00,19.8,2,35.85,560,3.2,57.92,4.7,4.68
Costa Rica,4814144.00,30.4,1.22,15.91,40,10.1,8.46,23.7,1.9
Cote d'Ivoire,23295302.00,20.5,1.91,28.67,400,7.1,58.7,6.2,3.54
Croatia,4464844.00,42.6,-0.13,9.45,17,6.8,5.77,24.2,1.46
Cuba,11031433.00,40.4,-0.15,9.9,73,8.6,4.63,21.5,1.47
Cyprus,1189197.00,36.1,1.43,11.41,10,7.3,8.36,25.5,1.46
Czechia,10644842.00,41.3,0.16,9.63,5,7.7,2.63,32.7,1.44
Denmark,5581503.00,41.8,0.22,10.27,12,11.2,4.05,18.2,1.73
Djibouti,828324.00,23.2,2.2,23.65,200,8.8,48.7,9.4,2.39
Dominican Republic,10478756.00,27.4,1.23,18.73,150,5.4,18.84,21.2,2.33
Ecuador,15868396.00,27,1.35,18.51,110,6.4,17.38,21.4,2.25
Egypt,88487396.00,25.3,1.79,22.9,66,5,21.55,33.1,2.83
El Salvador,6141350.00,26.1,0.25,16.46,81,6.7,17.86,25.8,1.91
Equatorial Guinea,740743.00,19.5,2.51,33.31,240,4.7,69.17,10.6,4.57
Eritrea,6527689.00,19.3,2.25,30,240,2.6,37.53,1.5,4.02
Estonia,1265420.00,42.1,-0.55,10.51,2,5.9,3.85,20.6,1.59
Ethiopia,99465819.00,17.7,2.89,37.27,350,3.8,53.37,1.1,5.15
Fiji,909389.00,28.2,0.67,19.43,26,4,9.94,30.6,2.47
Finland,5476922.00,42.4,0.4,10.72,5,9.1,2.52,23,1.75
France,66553766.00,41.1,0.43,12.38,8,11.7,3.28,18.2,2.08
Gabon,1705336.00,18.6,1.93,34.49,230,3.5,46.07,13.9,4.46
"Gambia, The",1967709.00,20.5,2.16,30.86,360,5,63.9,7.9,3.73
Georgia,4931226.00,37.9,-0.08,12.74,67,9.2,16.15,22.1,1.76
Germany,80854408.00,46.5,-0.17,8.47,7,11.3,3.43,25.1,1.44
Ghana,26327649.00,20.9,2.18,31.09,350,5.2,37.37,7.5,4.06
Greece,10775643.00,43.8,-0.01,8.66,3,9.3,4.7,20.1,1.42
Grenada,110694.00,30.4,0.48,16.03,24,6.4,10.21,22.5,2.06
Guatemala,14918999.00,21.4,1.81,24.89,120,6.7,22.73,19.2,2.9
Guinea,11780162.00,18.8,2.63,35.74,610,6.3,53.43,4.4,4.88
Guinea-Bissau,1726170.00,19.9,1.91,33.38,790,5.9,89.21,4.9,4.23
Guyana,735222.00,25.4,0.02,15.59,280,6.6,32.56,17.2,2.08
Haiti,10110019.00,22.5,1.17,22.31,350,6.4,47.98,7.9,2.69
Honduras,8746673.00,22.3,1.68,23.14,100,8.6,18.18,18.4,2.78
Hungary,9897541.00,41.4,-0.22,9.16,21,7.8,5.02,27.6,1.43
Iceland,331918.00,36,1.21,13.91,5,9.1,2.06,23.2,2.02
India,1251695584.00,27.3,1.22,19.55,200,4,41.81,1.9,2.48
Indonesia,255993674.00,29.6,0.92,16.72,220,3,24.29,4.8,2.15
Iran,81824270.00,28.8,1.2,17.99,21,6.7,38.04,19.4,1.83
Iraq,37056169.00,19.7,2.93,31.45,63,3.6,37.49,27,4.12
Ireland,4892305.00,36.1,1.25,14.84,6,8.1,3.7,25.2,1.99
Israel,8049314.00,29.6,1.56,18.48,7,7.5,3.55,26.2,2.68
Italy,61855120.00,44.8,0.27,8.74,4,9.2,3.29,19.8,1.43
Jamaica,2950210.00,25.3,0.68,18.16,110,5.9,13.37,24.1,2.01
Japan,126919659.00,46.5,-0.16,7.93,5,10.1,2.08,5,1.4
Jordan,8117564.00,22,0.83,25.37,63,9.8,15.18,30,3.17
Kazakhstan,18157122.00,30,1.14,19.15,51,4.2,20.92,23.7,2.31
Kenya,45925301.00,19.3,1.93,26.4,360,4.7,39.38,4.2,3.31
Kiribati,105711.00,23.9,1.15,21.46,9,10.7,34.26,46,2.48
"Korea, South",49115196.00,40.8,0.14,8.19,16,7.5,3.86,7.7,1.25
Kuwait,2788534.00,29,1.62,19.91,14,2.5,7.31,42,2.48
Kyrgyzstan,5664939.00,26,1.11,22.98,71,7.1,27.73,15.5,2.66
Laos,6911544.00,22.3,1.55,24.25,470,2.9,52.97,2.6,2.82
Latvia,1986705.00,42.9,-1.06,10,34,6,5.36,24.9,1.5
Lebanon,6184701.00,29.4,0.86,14.59,25,7.3,7.76,27.4,1.73
Lesotho,1947701.00,23.8,0.32,25.47,620,11.6,49.03,14.6,2.72
Liberia,4195666.00,18.1,2.47,34.41,770,15.5,67.5,4.8,4.7
Libya,6411776.00,28,2.23,18.03,58,3.9,11.48,27.8,2.05
Lithuania,2884433.00,43.1,-1.04,10.1,8,6.7,3.84,27.6,1.59
Luxembourg,570252.00,39.2,2.13,11.37,20,6.9,3.46,26,1.61
Macedonia,2096015.00,37.2,0.2,11.55,10,7.1,7.7,21.1,1.6
Madagascar,23812681.00,19.4,2.58,32.61,240,4.1,43.67,1.6,4.2
Malawi,17964697.00,16.4,3.31,41.56,460,9.2,46.26,4.3,5.6
Malaysia,30513848.00,27.9,1.44,19.71,29,4,13.27,14,2.55
Maldives,393253.00,27.4,-0.08,15.75,60,8.5,23.7,12.9,1.74
Mali,16955536.00,16.1,2.98,44.99,540,5.8,102.23,4.3,6.06
Malta,413965.00,41.2,0.31,10.18,8,9.1,3.56,28.8,1.54
Mauritania,3596702.00,20.1,2.23,31.34,510,6.4,54.68,12.7,4
Mauritius,1339827.00,34.4,0.64,13.29,60,4.8,10.3,18.5,1.76
Mexico,121736809.00,27.6,1.18,18.78,50,6.1,12.23,32.1,2.27
"Micronesia, Federated States of",105216.00,24.2,-0.46,20.54,100,12.8,21.18,40.6,2.49
Moldova,3546847.00,36,-1.02,12,41,11.7,12.59,21.2,1.56
Mongolia,2992908.00,27.5,1.31,20.25,63,6.3,22.44,14.4,2.17
Morocco,33322699.00,28.5,1,18.2,100,6.4,23.6,16.4,2.13
Mozambique,25303113.00,17,2.45,38.58,490,6.4,70.21,4.9,5.21
Namibia,2212307.00,23.1,0.59,19.8,200,8.3,45.62,9.5,2.17
Nepal,31551305.00,23.4,1.79,20.64,170,5.5,39.14,1.4,2.24
Netherlands,16947904.00,42.3,0.41,10.83,6,12.4,3.62,18.8,1.78
New Zealand,4438393.00,37.7,0.82,13.33,15,10.3,4.52,28.3,2.04
Nicaragua,5907881.00,24.7,1,18.03,95,8.2,19.65,22.2,1.94
Niger,18045729.00,15.2,3.25,45.45,590,7.2,84.59,2.4,6.76
Nigeria,181562056.00,18.2,2.45,37.64,630,6.1,72.7,6.5,5.19
Norway,5207689.00,39.1,1.13,12.14,7,9,2.48,21.5,1.86
Oman,3286936.00,25.1,2.06,24.44,32,2.6,13.55,20.9,2.86
Pakistan,199085847.00,23,1.46,22.58,260,2.7,55.67,5.5,2.75
Panama,3657024.00,28.6,1.32,18.32,92,7.6,10.41,25.4,2.35
Papua New Guinea,6672429.00,22.6,1.78,24.38,230,5.2,38.55,16.2,3.16
Paraguay,6783272.00,27.3,1.16,16.37,99,10.3,20.05,17.9,1.91
Peru,30444999.00,27.3,0.97,18.28,67,5.1,19.59,15.7,2.18
Philippines,100998376.00,23.2,1.61,24.27,99,4.6,22.34,6.3,3.09
Poland,38562189.00,39.9,-0.09,9.74,5,6.7,4.5,25.3,1.33
Portugal,10825309.00,41.5,0.09,9.27,8,9.4,4.43,24,1.52
Qatar,2194817.00,32.8,3.07,9.84,7,2.2,6.32,33.2,1.91
Romania,21666350.00,40.2,-0.3,9.14,27,5.1,9.89,19.1,1.33
Russia,142423773.00,39.1,-0.04,11.6,34,6.3,6.97,26.5,1.61
Rwanda,12661733.00,18.8,2.56,33.75,340,10.7,58.19,4.3,4.53
Saint Lucia,163922.00,33.5,0.34,13.7,35,8.5,11.45,21.4,1.76
Saint Vincent and the Grenadines,102627.00,32.5,-0.28,13.57,48,5.2,12.69,23.4,1.82
Samoa,197773.00,23.5,0.58,20.87,100,6.8,19.57,54.1,2.84
Sao Tome and Principe,194006.00,17.9,1.84,34.23,70,7.9,47.88,9.5,4.54
Saudi Arabia,27752316.00,26.8,1.46,18.51,24,3.2,14.09,33,2.12
